USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root       706  0.0  0.0      0     0 ?        S    09:46   0:00 [irq/43-mei_me]
root       713  0.0  0.0      0     0 ?        S<   09:46   0:00 [kpsmoused]
root       730  0.0  0.0      0     0 ?        S    09:46   0:00 [kworker/6:2]
root       849  0.0  0.0      0     0 ?        S    09:46   0:00 [jbd2/sda1-8]
root       850  0.0  0.0      0     0 ?        S<   09:46   0:00 [ext4-rsv-conver]
root       851  0.0  0.0      0     0 ?        S<   09:46   0:00 [ext4-unrsv-conv]
root       859  0.0  0.0   2848   368 ?        S    09:46   0:00 upstart-socket-bridge --daemon
root       860  0.0  0.0      0     0 ?        S<   09:46   0:00 [hd-audio0]
root       882  0.0  0.0   2700   988 ?        Ss   09:46   0:00 rpcbind -w
root       916  0.0  0.0      0     0 ?        S    09:46   0:00 [kworker/1:2]
root       929  0.0  0.0      0     0 ?        S    09:47   0:00 [jbd2/sda4-8]
root       930  0.0  0.0      0     0 ?        S<   09:47   0:00 [ext4-rsv-conver]
root       931  0.0  0.0      0     0 ?        S<   09:47   0:00 [ext4-unrsv-conv]
root       957  0.0  0.0      0     0 ?        S<   09:47   0:00 [rpciod]
root       971  0.0  0.0   6684  2416 ?        Ss   09:47   0:00 /usr/sbin/sshd -D
root       972  0.0  0.0      0     0 ?        S<   09:47   0:00 [nfsiod]
statd      985  0.0  0.0   2960  1256 ?        Ss   09:47   0:00 rpc.statd -L
syslog     986  0.0  0.0  31064  1460 ?        Sl   09:47   0:00 rsyslogd -c5
root       988  0.0  0.0   2912   396 ?        Ss   09:47   0:00 rpc.idmapd
102       1038  0.0  0.0   4232  1948 ?        Ss   09:47   0:00 dbus-daemon --system --fork --activation=upstart
root      1050  0.0  0.0   7232  2884 ?        Ss   09:47   0:00 /usr/sbin/modem-manager
root      1071  0.0  0.0  11076  3560 ?        Ss   09:47   0:00 /usr/sbin/cupsd -F
root      1084  0.0  0.0   4744  1608 ?        Ss   09:47   0:00 /usr/sbin/bluetoothd
avahi     1099  0.0  0.0   3588  1708 ?        S    09:47   0:01 avahi-daemon: running [n1.local]
avahi     1100  0.0  0.0   3456   436 ?        S    09:47   0:00 avahi-daemon: chroot helper
root      1111  0.0  0.0      0     0 ?        S<   09:47   0:00 [krfcommd]
root      1113  0.0  0.0   4632   864 tty4     Ss+  09:47   0:00 /sbin/getty -8 38400 tty4
root      1120  0.0  0.0   4632   860 tty5     Ss+  09:47   0:00 /sbin/getty -8 38400 tty5
root      1128  0.0  0.0   4632   852 tty2     Ss+  09:47   0:00 /sbin/getty -8 38400 tty2
root      1142  0.0  0.0   4632   864 tty3     Ss+  09:47   0:00 /sbin/getty -8 38400 tty3
root      1147  0.0  0.0   4632   856 tty6     Ss+  09:47   0:00 /sbin/getty -8 38400 tty6
root      1153  0.0  0.0   2176   700 ?        Ss   09:47   0:00 acpid -c /etc/acpi/events -s /var/run/acpid.socket
